participant_id,trial_number,phase,group,task_type,is_correct,word_count,rt_seconds,audio_duration_s,wps_rt,wps_audio,wps_used,wps_source
sub_14ef9451a39d,5,unlabeled,1,value-tight-chunk,0,347,240.134,239.32,1.4450265268558389,1.4499415009192713,1.4499415009192713,audio
sub_187c1aa52c3d,1,unlabeled,1,value-tight-chunk,0,245,240.119,239.74,1.0203274209870938,1.021940435471761,1.021940435471761,audio
sub_187c1aa52c3d,2,unlabeled,1,value-tight-chunk,0,201,240.121,239.74,0.8370779731885174,0.8384082756319345,0.8384082756319345,audio
sub_187c1aa52c3d,3,unlabeled,1,value-tight-chunk,0,251,240.118,239.74,1.0453193846358875,1.0469675481771918,1.0469675481771918,audio
sub_187c1aa52c3d,4,unlabeled,1,value-tight-chunk,0,307,240.126,239.74,1.2784954565519768,1.2805539334278802,1.2805539334278802,audio
sub_187c1aa52c3d,5,unlabeled,1,value-tight-chunk,0,269,240.117,239.68,1.1202871933265868,1.1223297730307076,1.1223297730307076,audio
sub_b756988f57dd,1,pre_incorrect,1,hybrid,0,380,240.12,238.12,1.5825420623021822,1.595834033260541,1.595834033260541,audio
sub_b756988f57dd,2,first_correct,1,hybrid,1,172,106.565,103.36,1.6140383803312532,1.6640866873065017,1.6640866873065017,audio
sub_b756988f57dd,3,post_correct,1,hybrid,1,248,238.941,235.72,1.0379131249973843,1.052095706770745,1.052095706770745,audio
sub_b756988f57dd,4,post_correct,1,hybrid,1,227,126.374,123.16,1.7962555588966085,1.8431308866515104,1.8431308866515104,audio
sub_b756988f57dd,5,post_correct,1,hybrid,1,146,88.429,85.18,1.6510420789559985,1.7140173749706502,1.7140173749706502,audio
sub_af23f97f6c59,1,first_correct,1,value-loose-chunk,1,154,160.812,157.36,0.9576399771161356,0.9786476868327402,0.9786476868327402,audio
sub_af23f97f6c59,2,post_incorrect,1,value-loose-chunk,0,113,240.103,239.68,0.4706313540438895,0.4714619492656876,0.4714619492656876,audio
sub_af23f97f6c59,3,post_correct,1,value-loose-chunk,1,158,172.352,169.0,0.9167285555142963,0.9349112426035503,0.9349112426035503,audio
sub_af23f97f6c59,4,post_incorrect,1,value-loose-chunk,0,302,240.123,239.68,1.2576887678398154,1.2600133511348464,1.2600133511348464,audio
sub_af23f97f6c59,5,post_incorrect,1,value-loose-chunk,0,213,240.127,239.62,0.8870306129673048,0.8889074367748936,0.8889074367748936,audio
sub_dcdeec2e1791,1,first_correct,1,operator,1,187,146.481,140.44,1.2766160799011477,1.3315294787809742,1.3315294787809742,audio
sub_dcdeec2e1791,2,post_correct,1,operator,1,75,64.892,58.96,1.1557665043456822,1.2720488466757123,1.2720488466757123,audio
sub_dcdeec2e1791,3,post_correct,1,operator,1,51,53.925,47.92,0.9457579972183588,1.0642737896494157,1.0642737896494157,audio
sub_dcdeec2e1791,4,post_correct,1,operator,1,25,23.546,17.56,1.0617514652170221,1.4236902050113895,1.4236902050113895,audio
sub_dcdeec2e1791,5,post_correct,1,operator,1,12,16.276,10.42,0.7372818874416318,1.1516314779270633,1.1516314779270633,audio
sub_f5967a6d7c24,1,first_correct,1,operator,1,217,195.58,191.68,1.1095204008589834,1.1320951585976626,1.1320951585976626,audio
sub_f5967a6d7c24,2,post_correct,1,operator,1,54,46.071,42.22,1.172103926548154,1.2790146849834203,1.2790146849834203,audio
sub_f5967a6d7c24,3,post_correct,1,operator,1,41,34.946,31.66,1.1732387111543525,1.2950094756790904,1.2950094756790904,audio
sub_f5967a6d7c24,4,post_incorrect,1,operator,0,289,240.133,239.68,1.203499727234491,1.2057743658210947,1.2057743658210947,audio
sub_f5967a6d7c24,5,post_correct,1,operator,1,57,52.484,48.52,1.086045270939715,1.17477328936521,1.17477328936521,audio
sub_93d81c85849e,1,pre_incorrect,1,hybrid,0,358,240.171,238.84,1.4906046108814137,1.4989114051247696,1.4989114051247696,audio
sub_93d81c85849e,2,first_correct,1,hybrid,1,184,104.217,100.48,1.7655468877438423,1.8312101910828025,1.8312101910828025,audio
sub_93d81c85849e,3,post_correct,1,hybrid,1,294,190.205,186.4,1.5457006913593228,1.5772532188841202,1.5772532188841202,audio
sub_93d81c85849e,4,post_correct,1,hybrid,1,281,162.1,158.26,1.7334978408389883,1.7755592063692658,1.7755592063692658,audio
sub_93d81c85849e,5,post_correct,1,hybrid,1,70,42.664,38.92,1.640727545471592,1.7985611510791366,1.7985611510791366,audio
sub_a3e279103ed5,1,first_correct,1,operator,1,178,156.457,153.04,1.1376927845989633,1.1630946157867226,1.1630946157867226,audio
sub_a3e279103ed5,2,post_correct,1,operator,1,125,115.554,112.12,1.0817453311871505,1.1148769175882982,1.1148769175882982,audio
sub_a3e279103ed5,3,post_correct,1,operator,1,67,40.662,37.3,1.647730067384782,1.7962466487935658,1.7962466487935658,audio
