participant_id,group,trial_number,task_type,phase,is_correct,audio_duration_s,speech_total_s,silence_total_s,speech_ratio_audio,lexical_total_s,nonlex_total_s,lexical_ratio_audio,nonlex_ratio_audio
sub_d35aa8f4d33f,1,1,tautological,unlabeled,0,239.8,49.38400000000002,190.416,0.20593828190158472,49.38400000000002,0.0,0.20593828190158472,0.0
sub_d35aa8f4d33f,1,2,tautological,unlabeled,0,239.8,64.756,175.04399999999998,0.27004170141784817,63.932,0.824,0.266605504587156,0.003436196830692243
sub_d35aa8f4d33f,1,3,tautological,unlabeled,0,239.8,55.65,184.15000000000003,0.23206839032527105,54.826,0.8240000000000001,0.2286321934945788,0.0034361968306922436
sub_d35aa8f4d33f,1,4,tautological,unlabeled,0,239.8,35.551999999999985,204.248,0.14825688073394488,32.72399999999999,2.828,0.136463719766472,0.011793160967472892
sub_d35aa8f4d33f,1,5,tautological,unlabeled,0,239.8,48.65800000000001,191.044,0.20291075896580485,44.45,4.208,0.1853628023352794,0.017547956630525437
sub_9503423c9f70,1,1,tautological,first_correct,1,82.6,29.069999999999997,53.53000000000001,0.3519370460048426,29.069999999999997,0.0,0.3519370460048426,0.0
sub_9503423c9f70,1,2,tautological,post_correct,1,40.06,15.843999999999998,24.216,0.39550673989016466,15.843999999999998,0.0,0.39550673989016466,0.0
sub_9503423c9f70,1,3,tautological,post_correct,1,17.5,9.164000000000001,8.336,0.5236571428571429,9.164000000000001,0.0,0.5236571428571429,0.0
sub_9503423c9f70,1,4,tautological,post_correct,1,17.44,8.68,8.76,0.4977064220183486,8.68,0.0,0.4977064220183486,0.0
sub_9503423c9f70,1,5,tautological,post_correct,1,16.06,9.475999999999999,6.584,0.5900373599003735,9.475999999999999,0.0,0.5900373599003735,0.0
sub_8c695f8dca6e,1,1,operator,pre_incorrect,0,239.86,91.36200000000004,148.49800000000002,0.3808971900275162,90.02200000000003,1.34,0.3753105978487452,0.00558659217877095
sub_8c695f8dca6e,1,2,operator,pre_incorrect,0,239.86,54.152000000000015,185.70799999999997,0.2257650296006004,54.152000000000015,0.0,0.2257650296006004,0.0
sub_8c695f8dca6e,1,3,operator,first_correct,1,195.7,43.55200000000001,152.14800000000005,0.22254471129279516,43.55200000000001,0.0,0.22254471129279516,0.0
sub_8c695f8dca6e,1,4,operator,post_incorrect,0,239.8,88.06400000000002,151.73600000000005,0.36723936613844876,88.06400000000002,0.0,0.36723936613844876,0.0
sub_8c695f8dca6e,1,5,operator,post_incorrect,0,239.86,60.00399999999999,179.79000000000002,0.25016259484699405,59.399999999999984,0.604,0.2476444592679062,0.002518135579087801
sub_3a291c7f542d,1,1,hybrid,pre_incorrect,0,239.86,51.616,188.24400000000003,0.21519219544734428,51.268,0.348,0.21374134912032017,0.0014508463270240972
sub_3a291c7f542d,1,2,hybrid,first_correct,1,133.18,34.215999999999994,98.964,0.2569154527706862,34.215999999999994,0.0,0.2569154527706862,0.0
sub_3a291c7f542d,1,3,hybrid,post_incorrect,0,239.86,65.672,174.18800000000005,0.273793045943467,65.672,0.0,0.273793045943467,0.0
sub_3a291c7f542d,1,4,hybrid,post_correct,1,121.06,21.539999999999992,99.51999999999998,0.17792830001652066,21.539999999999992,0.0,0.17792830001652066,0.0
sub_3a291c7f542d,1,5,hybrid,post_correct,1,127.66,28.987999999999985,98.638,0.2270719097603007,28.987999999999985,0.0,0.2270719097603007,0.0
sub_057b1c4a47b6,1,1,value-loose-chunk,first_correct,1,34.66,23.467999999999993,11.192,0.6770917484131562,23.467999999999993,0.0,0.6770917484131562,0.0
sub_057b1c4a47b6,1,2,value-loose-chunk,post_correct,1,48.64,27.855999999999998,20.783999999999995,0.5726973684210526,27.855999999999998,0.0,0.5726973684210526,0.0
sub_057b1c4a47b6,1,3,value-loose-chunk,post_correct,1,134.98,56.13600000000001,78.84399999999998,0.4158838346421693,55.69200000000001,0.444,0.41259445843828724,0.0032893762038820567
sub_057b1c4a47b6,1,4,value-loose-chunk,post_correct,1,29.2,19.874,9.325999999999999,0.6806164383561644,19.874,0.0,0.6806164383561644,0.0
sub_057b1c4a47b6,1,5,value-loose-chunk,post_correct,1,31.42,18.428,12.991999999999999,0.5865054105665182,18.428,0.0,0.5865054105665182,0.0
sub_df5377cdddde,1,1,tautological,unlabeled,0,239.2,140.164,99.03600000000002,0.5859698996655518,137.65200000000002,2.512,0.5754682274247492,0.010501672240802677
sub_df5377cdddde,1,2,tautological,unlabeled,0,239.2,138.92000000000004,100.27999999999999,0.580769230769231,137.01200000000006,1.908,0.5727926421404685,0.007976588628762542
sub_df5377cdddde,1,3,tautological,unlabeled,0,241.24,127.164,114.07600000000004,0.5271265130160836,124.716,2.448,0.5169789421323163,0.010147570883767202
sub_df5377cdddde,1,4,tautological,unlabeled,0,239.2,127.16200000000003,112.03799999999997,0.5316137123745821,125.92200000000004,1.24,0.5264297658862879,0.005183946488294315
sub_df5377cdddde,1,5,tautological,unlabeled,0,239.14,124.06200000000001,115.07800000000002,0.5187839759136909,121.51800000000001,2.544,0.5081458559839426,0.010638119929748266
sub_3b1144cd2068,1,1,value-loose-chunk,unlabeled,0,239.08,57.73,181.34999999999997,0.24146729128325245,57.254,0.476,0.23947632591601137,0.0019909653672410908
sub_3b1144cd2068,1,2,value-loose-chunk,unlabeled,0,239.14,46.024,193.116,0.1924563017479301,45.708,0.316,0.1911349000585431,0.00132140168938697
sub_3b1144cd2068,1,3,value-loose-chunk,unlabeled,0,239.14,76.60600000000004,162.53400000000008,0.32033955005436165,75.14600000000004,1.46,0.3142343397173206,0.006105210337041064
sub_3b1144cd2068,1,4,value-loose-chunk,unlabeled,0,239.32,82.15600000000006,157.16400000000002,0.3432893197392615,79.93200000000004,2.224,0.3339963229149258,0.009292996824335618
sub_3b1144cd2068,1,5,value-loose-chunk,unlabeled,0,239.32,100.48800000000006,138.83200000000002,0.41988968744776894,99.91600000000005,0.572,0.4174995821494236,0.0023901052983453116
sub_14ef9451a39d,1,1,value-tight-chunk,unlabeled,0,239.38,90.39800000000002,148.98200000000006,0.37763388754281907,90.08200000000002,0.316,0.37631381067758385,0.0013200768652351909
sub_14ef9451a39d,1,2,value-tight-chunk,unlabeled,0,239.32,86.68800000000005,152.632,0.3622263078723051,86.68800000000005,0.0,0.3622263078723051,0.0
sub_14ef9451a39d,1,3,value-tight-chunk,unlabeled,0,239.32,101.64400000000003,137.67599999999996,0.4247200401136555,99.79600000000003,1.8479999999999999,0.416998161457463,0.007721878656192545
sub_14ef9451a39d,1,4,value-tight-chunk,unlabeled,0,239.38,93.43800000000002,145.942,0.3903333611830563,92.07400000000001,1.3639999999999999,0.38463530787868666,0.005698053304369621
